cell,route,direction,n,n_lot,pos_0c,pos_0c_lot,pos_1c,fresh_time,open_time_0c,edge_sum,fixtures,pos_pct,open_pct_of_fresh,mean_net_c,outcome_sel,panel
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,K YES + PM NO,549402.0,168119.0,10757.0,2355.0,0.0,637852.0,13556.0,-8810.310481598528,104,1.9579470041972908,2.1252578968161893,-1.6036182033553807,team_win,World Cup 2026/27 | pre_last_hour  F=10s | team_win
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,PM YES + K NO,77672.0,8899.0,6991.0,897.0,118.0,219529.0,20038.0,-866.0109384328151,104,9.000669481923987,9.127723444282987,-1.1149589793398074,team_win,World Cup 2026/27 | pre_last_hour  F=10s | team_win
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,K YES + PM NO,77672.0,8899.0,3218.0,654.0,130.0,219529.0,10264.0,-1188.147172967185,104,4.143063137295293,4.6754642894560625,-1.5296981833443004,team_win,World Cup 2026/27 | pre_last_hour  F=10s | team_win
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,PM YES + K NO,549402.0,168119.0,72543.0,27777.0,1527.0,637852.0,81017.0,-4894.576160501475,104,13.203992704795395,12.701535779459812,-0.8908915803913119,team_win,World Cup 2026/27 | pre_last_hour  F=10s | team_win
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,K YES + PM NO,319588.0,85068.0,116.0,55.0,0.0,359995.0,150.0,-10837.58924804833,104,0.03629673204250473,0.04166724537840803,-3.39111269761328,team_win,World Cup 2026/27 | pre_last_hour  F=10s | team_win
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,PM YES + K NO,172668.0,22997.0,0.0,0.0,0.0,367498.0,0.0,-5041.713845227117,104,0.0,0.0,-2.9198889459697903,team_win,World Cup 2026/27 | pre_last_hour  F=10s | team_win
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,K YES + PM NO,82256.0,6808.0,62937.0,4921.0,35362.0,723115.0,587789.0,1151.1872142680222,339,76.51356739933865,81.28568761538621,1.3995176209249443,draw,Premier League 2025/26 | post_0_to_105m  F=60s | draw
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,PM YES + K NO,168033.0,9827.0,126729.0,6795.0,60104.0,892058.0,673794.0,1823.15039402143,339,75.41911410258699,75.53253263801233,1.0849954437648737,draw,Premier League 2025/26 | post_0_to_105m  F=60s | draw
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,K YES + PM NO,209652.0,16327.0,28751.0,2921.0,9142.0,1196666.0,177798.0,-2915.2601421462996,339,13.713677904336711,14.85777986505842,-1.3905234112463984,draw,Premier League 2025/26 | post_0_to_105m  F=60s | draw
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,PM YES + K NO,71358.0,5382.0,11526.0,1111.0,5450.0,607469.0,79790.0,-1090.7581092007044,339,16.152358530227865,13.134826633128604,-1.5285715816036107,draw,Premier League 2025/26 | post_0_to_105m  F=60s | draw
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,K YES + PM NO,71358.0,5382.0,18076.0,1611.0,8425.0,607469.0,134785.0,-585.9118071992947,339,25.331427450320916,22.18796350101816,-0.8210877647906257,draw,Premier League 2025/26 | post_0_to_105m  F=60s | draw
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,PM YES + K NO,209652.0,16327.0,24717.0,2292.0,10746.0,1196666.0,116586.0,-2508.8361390536993,339,11.789536946940645,9.74256810170925,-1.1966669237849863,draw,Premier League 2025/26 | post_0_to_105m  F=60s | draw
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,K YES + PM NO,168033.0,9827.0,3730.0,595.0,2168.0,892058.0,16524.0,-6060.10859732143,339,2.219802062690067,1.8523459236955444,-3.6064990789436777,draw,Premier League 2025/26 | post_0_to_105m  F=60s | draw
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,PM YES + K NO,82256.0,6808.0,2622.0,357.0,1647.0,723115.0,14151.0,-3183.5661408680207,339,3.1876094145107956,1.9569501393277695,-3.8703147987599937,draw,Premier League 2025/26 | post_0_to_105m  F=60s | draw
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,K YES + PM NO,47446.0,4385.0,39058.0,3578.0,22206.0,366842.0,310759.0,790.9503274817167,189,82.320954348101,84.71194683269637,1.6670537610793674,draw,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,PM YES + K NO,95645.0,6853.0,71099.0,4724.0,29274.0,413275.0,312092.0,867.1825759839331,187,74.33634795336923,75.51678664327626,0.9066679658988271,draw,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,K YES + PM NO,114643.0,10784.0,18469.0,2194.0,7095.0,544505.0,111740.0,-1255.2652079784218,189,16.110011077867817,20.521390988145196,-1.094934019502649,draw,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,PM YES + K NO,41531.0,3334.0,5633.0,503.0,2423.0,309807.0,40494.0,-659.764071269633,188,13.563362307673787,13.070718221344256,-1.5886062730722423,draw,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,K YES + PM NO,41531.0,3334.0,11181.0,1076.0,5457.0,309807.0,74358.0,-231.97841903036613,188,26.92205822156943,24.001394416523837,-0.558566899497643,draw,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,PM YES + K NO,114643.0,10784.0,10871.0,1187.0,4187.0,544505.0,54715.0,-1503.80023922158,189,9.482480395663059,10.048576229786686,-1.3117244308170406,draw,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,K YES + PM NO,95645.0,6853.0,2681.0,355.0,1512.0,413275.0,12260.0,-3103.145217483934,187,2.803073866903654,2.966547698263868,-3.244440605869553,draw,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,PM YES + K NO,47446.0,4385.0,1062.0,143.0,699.0,366842.0,5319.0,-1870.6510124817155,189,2.238334106141719,1.4499430272433365,-3.9426948794033545,draw,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,K YES + PM NO,224363.0,41314.0,183929.0,31697.0,59226.0,312606.0,260009.0,1712.8037567864633,104,81.97831193200305,83.17466715290173,0.7634074053148082,draw,World Cup 2026/27 | post_0_to_105m  F=5s | draw
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,PM YES + K NO,285719.0,68882.0,192196.0,45291.0,37817.0,291250.0,196441.0,1113.8535639381062,104,67.26749008641357,67.44755364806866,0.38984231498014,draw,World Cup 2026/27 | post_0_to_105m  F=5s | draw
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,K YES + PM NO,435627.0,111055.0,36057.0,10758.0,2718.0,452449.0,36236.0,-4890.6109294207945,104,8.277035169996351,8.008858456975261,-1.122660195401294,draw,World Cup 2026/27 | post_0_to_105m  F=5s | draw
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,PM YES + K NO,164211.0,32402.0,9248.0,2896.0,1169.0,220678.0,11207.0,-2341.8909543466525,104,5.631778626279604,5.0784400801167315,-1.4261474288242886,draw,World Cup 2026/27 | post_0_to_105m  F=5s | draw
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,K YES + PM NO,164211.0,32402.0,28970.0,7296.0,4112.0,220678.0,39170.0,-1409.740656053347,104,17.641936289286345,17.749843663618485,-0.8584934359168065,draw,World Cup 2026/27 | post_0_to_105m  F=5s | draw
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,PM YES + K NO,435627.0,111055.0,35906.0,14681.0,2379.0,452449.0,39636.0,-5698.218305679236,104,8.242372488390297,8.760324368050322,-1.3080498466989503,draw,World Cup 2026/27 | post_0_to_105m  F=5s | draw
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,K YES + PM NO,285719.0,68882.0,2842.0,1584.0,867.0,291250.0,2923.0,-7767.378734138127,104,0.9946835877208026,1.0036051502145922,-2.7185377010762766,draw,World Cup 2026/27 | post_0_to_105m  F=5s | draw
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,PM YES + K NO,224363.0,41314.0,1199.0,666.0,480.0,312606.0,1313.0,-7123.373409186483,104,0.5344018398755588,0.42001753005380577,-3.174932323594569,draw,World Cup 2026/27 | post_0_to_105m  F=5s | draw
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,K YES + PM NO,30303.0,1952.0,25271.0,1554.0,5391.0,91703.0,77677.0,203.2216386805944,104,83.3943833943834,84.70497148402997,0.6706320782780398,draw,World Cup 2026/27 | pre_last_hour  F=10s | draw
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,PM YES + K NO,72185.0,8885.0,53561.0,6391.0,10043.0,95025.0,69937.0,390.3557733029915,104,74.19962596107224,73.59852670349908,0.540771314404643,draw,World Cup 2026/27 | pre_last_hour  F=10s | draw
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,K YES + PM NO,191699.0,26193.0,3452.0,490.0,0.0,261587.0,5041.0,-2328.471280108845,104,1.8007397013025628,1.9270835324385387,-1.2146496748072995,draw,World Cup 2026/27 | pre_last_hour  F=10s | draw
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,PM YES + K NO,10131.0,611.0,507.0,33.0,6.0,35811.0,1822.0,-143.3037580116149,104,5.004441812259402,5.087822177543213,-1.4145075314541,draw,World Cup 2026/27 | pre_last_hour  F=10s | draw
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,K YES + PM NO,10131.0,611.0,382.0,48.0,11.0,35811.0,1417.0,-107.78833048838486,104,3.77060507353667,3.956884756080534,-1.0639456172972546,draw,World Cup 2026/27 | pre_last_hour  F=10s | draw
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,PM YES + K NO,191699.0,26193.0,11349.0,1959.0,578.0,261587.0,15456.0,-2272.870860391144,104,5.920218676153762,5.908550501362836,-1.1856456530243478,draw,World Cup 2026/27 | pre_last_hour  F=10s | draw
