combo,phase,freshness,fresh_pct_of_clock,k_only_pct_of_clock,pm_only_pct_of_clock,neither_pct_of_clock
UEFA Champions League Women 2026/27,pre_last_hour,60,1.7829218106995883,2.126543209876543,3.72085048010974,92.36968449931412
World Cup 2026/27,post_0_to_105m,60,99.12835775335776,0.7237484737484736,0.07595645095645086,0.0719373219373219
UEFA Champions League 2025/26,post_0_to_105m,60,69.68469527728787,18.69793678788388,4.425771954872484,7.191595979955769
Premier League 2025/26,post_0_to_105m,60,78.3094535749403,15.681478359944435,2.6258993928610446,3.383168672254218
La Liga 2025/26,post_0_to_105m,60,65.34533257747545,18.772675736961453,5.953341521793903,9.92865016376921
Serie A 2025/26,post_0_to_105m,60,58.46355592045247,20.61106549899653,7.52665267895153,13.398725901599466
UEFA Champions League 2026/27,post_0_to_105m,60,48.68877292164964,22.500833514532147,12.94143654417627,15.86895701964195
Bundesliga 2025/26,post_0_to_105m,60,52.643443963443964,20.04386724386725,9.970024050024051,17.34266474266474
Ligue 1 2025/26,post_0_to_105m,60,45.88083818659358,22.534924441399266,9.835959803585702,21.748277568421457
UEFA Champions League Women 2026/27,post_0_to_105m,60,6.611405055849501,20.9700176366843,3.1377621007250642,69.28081520674114
World Cup 2026/27,post_105_to_135m,60,57.12143874643875,4.610576923076923,28.290064102564106,9.977920227920228
UEFA Champions League 2025/26,post_105_to_135m,60,30.44150499706055,5.671859690378209,26.12198706643151,37.76464824612973
Premier League 2025/26,post_105_to_135m,60,42.14164754725227,5.195181907571288,24.62766306129138,28.035507483885063
La Liga 2025/26,post_105_to_135m,60,37.24371693121693,5.798831569664903,22.672894620811288,34.28455687830688
Serie A 2025/26,post_105_to_135m,60,31.26000425713069,7.426298424861643,21.070136228182204,40.243561089825455
UEFA Champions League 2026/27,post_105_to_135m,60,21.95738203957382,7.550228310502283,12.647640791476409,57.84474885844749
Bundesliga 2025/26,post_105_to_135m,60,28.80175084175084,7.33993265993266,21.17845117845118,42.67986531986532
Ligue 1 2025/26,post_105_to_135m,60,25.299493738342655,7.648747668531842,19.581201705302423,47.47055688782307
UEFA Champions League Women 2026/27,post_105_to_135m,60,4.478737997256515,12.276406035665294,4.419067215363512,78.82578875171468
