panel,gap_bucket,weighting,share_pct
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"(−4,−3]",per print,0.17956310887944724
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"(−4,−3]",per second,0.16494146806822335
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"(−3,−2]",per print,4.482211063902837
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"(−3,−2]",per second,4.201995345975874
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"(−2,−1]",per print,30.51611518818935
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"(−2,−1]",per second,29.558699845163055
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"(−1,1)",per print,62.631475043989525
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"(−1,1)",per second,63.72892538404615
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"[1,2)",per print,2.1557873052658683
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"[1,2)",per second,2.30472267543977
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"[2,3)",per print,0.034848289772971115
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"[2,3)",per second,0.04071528130693081
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"[3,4)",per print,0.0
World Cup 2026/27 | pre_last_hour  F=10s | team_win,"[3,4)",per second,0.0
World Cup 2026/27 | pre_last_hour  F=10s | team_win,≥4,per print,0.0
World Cup 2026/27 | pre_last_hour  F=10s | team_win,≥4,per second,0.0
Premier League 2025/26 | post_0_to_105m  F=60s | draw,≤−4,per print,2.985757150445155
Premier League 2025/26 | post_0_to_105m  F=60s | draw,≤−4,per second,2.2073968004987568
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"(−4,−3]",per print,2.3237407794345777
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"(−4,−3]",per second,1.6804569658684756
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"(−3,−2]",per print,8.058870913842895
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"(−3,−2]",per second,7.027145514819649
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"(−2,−1]",per print,22.639060372938236
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"(−2,−1]",per second,22.12015708557577
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"(−1,1)",per print,45.3055581937717
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"(−1,1)",per second,47.933803717046686
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"[1,2)",per print,11.629960286052983
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"[1,2)",per second,12.506707736279566
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"[2,3)",per print,3.553501264584938
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"[2,3)",per second,3.74231190226419
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"[3,4)",per print,1.2603637924181186
Premier League 2025/26 | post_0_to_105m  F=60s | draw,"[3,4)",per second,1.142058823110767
Premier League 2025/26 | post_0_to_105m  F=60s | draw,≥4,per print,2.2431872465113987
Premier League 2025/26 | post_0_to_105m  F=60s | draw,≥4,per second,1.6399614545361378
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,≤−4,per print,2.3947248928987426
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,≤−4,per second,2.3568894045380544
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"(−4,−3]",per print,1.7721885508591133
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"(−4,−3]",per second,1.7255440218378106
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"(−3,−2]",per print,6.554399541981719
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"(−3,−2]",per second,6.437784090034806
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"(−2,−1]",per print,21.22085562553057
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"(−2,−1]",per second,20.07610612388095
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"(−1,1)",per print,47.48780921169526
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"(−1,1)",per second,45.99373424714025
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"[1,2)",per print,11.799235320053436
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"[1,2)",per second,13.264869622485312
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"[2,3)",per print,4.211004284050303
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"[2,3)",per second,5.469454454808719
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"[3,4)",per print,1.724149277107641
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,"[3,4)",per second,2.0051332395727224
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,≥4,per print,2.8356332958232153
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | draw,≥4,per second,2.6704847957013733
World Cup 2026/27 | post_0_to_105m  F=5s | draw,≤−4,per print,0.11098823685251008
