cell,route,freshness,n,pos_0c,pos_pct
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,235,1496529,1151115,76.9189905441191
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,236,1496873,1151384,76.91928440154909
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,237,1497177,1151627,76.91989657869443
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,238,1497475,1151857,76.91994858010985
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,239,1497782,1152104,76.92067336902166
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,240,1498101,1152357,76.92118221668632
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,241,1498400,1152584,76.92098238120661
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,242,1498670,1152805,76.92187072537651
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,243,1498977,1153043,76.92199413333226
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,244,1499277,1153283,76.92261003136845
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,245,1499574,1153514,76.9227794026837
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,246,1499844,1153734,76.92360005440565
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,247,1500158,1153973,76.9234307319629
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,248,1500437,1154188,76.92345629973134
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,249,1500725,1154415,76.92382015359243
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,250,1501024,1154653,76.9243529750357
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,251,1501303,1154864,76.92411192144424
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,252,1501584,1155082,76.92423467485003
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,253,1501872,1155302,76.92413201657665
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,254,1502157,1155521,76.92411645387267
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,255,1502442,1155745,76.92443368862159
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,256,1502724,1155958,76.9241723696434
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,257,1502973,1156154,76.92446903570456
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,258,1503216,1156344,76.92467350001597
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,259,1503465,1156534,76.9245709078695
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,260,1503725,1156740,76.92496965868094
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,261,1503998,1156953,76.92516878346913
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,262,1504273,1157171,76.92559794664932
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,263,1504497,1157348,76.9259094567819
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,264,1504717,1157506,76.92516267178479
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,265,1504968,1157690,76.92455919328518
