cell,selection,pm_action,k_action,mean_gap_c,le_m2c_pct,ge_p2c_pct,prints
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | weak,sell,sell,0.19435843234333341,9.248069478298273,9.73351631470064,48821
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | weak,sell,all,-0.9312033264980013,26.874702508208756,3.177817398530088,123953
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | weak,all,buy,-0.5311417888010768,16.092178145604496,2.911078854056084,138471
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | weak,all,sell,0.8766104043080593,5.021894817006196,14.961702376942341,68281
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | weak,all,all,-0.19256897918823684,12.975990559615122,5.436650219475981,154231
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | weak,buy,buy,-0.21298523924687718,1.2297053517739025,0.5496091401082381,332600
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | weak,buy,sell,0.745405223592217,0.46999114915356777,4.673583024300616,178514
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | weak,buy,all,-0.07142628717507259,0.6767761699525492,0.9063861563699867,340142
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | weak,sell,buy,-0.8623375558388041,13.724934837274994,0.35978244644408636,261269
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | weak,sell,sell,0.06540144757166699,1.67184091290485,1.985791799518935,143016
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | weak,sell,all,-0.6991522155792838,7.163250093179277,0.47931420052180396,268300
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | weak,all,buy,-0.4399553212400281,3.623106055600631,0.3372297999085568,378377
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | weak,all,sell,0.4926447939511751,0.5703015700295352,2.7519236748018034,205856
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | weak,all,all,-0.2984709057981278,2.037074865992124,0.5282741750725957,386731
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | draw,buy,buy,-0.04199378697755338,8.193473458884613,4.838354625433622,131739
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | draw,buy,sell,1.7431072679787931,3.6765430638515975,29.84209592524691,50727
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | draw,buy,all,0.33477566279142057,6.65939590620719,9.518932794233045,150374
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | draw,sell,buy,-1.3518014448391866,31.603215446161936,2.2838683019364048,106486
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | draw,sell,sell,0.4325450133475953,10.964852761568732,14.515764237571812,44214
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | draw,sell,all,-0.941528734782193,26.29916156992993,4.6336425128599785,123445
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | draw,all,buy,-0.5472208008879244,15.490378726010615,3.2717435688035934,156736
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | draw,all,sell,1.1217244509995992,5.4654557249432365,21.690797039483385,67826
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | draw,all,all,-0.17728109311408166,12.586218632300222,6.658120433815855,176296
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | draw,buy,buy,0.16531928526624903,5.653835653835654,6.711711711711711,73260
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | draw,buy,sell,2.075432387440009,2.443122626608865,33.40390496353799,29757
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | draw,buy,all,0.59529101986826,4.66820576570177,12.27372284378145,84465
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | draw,sell,buy,-1.233626887770806,28.100335886956664,2.490196402865794,60437
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | draw,sell,sell,0.5442056816064774,8.389873221416664,16.41530647850192,25793
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | draw,sell,all,-0.8095671620677763,23.093148357870895,5.516704416761042,70640
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | draw,all,buy,-0.3734786407068376,13.132736355485171,4.8720844929375735,85877
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | draw,all,sell,1.3631335415455892,4.233499204324433,24.66341660562277,39589
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | draw,all,all,0.04196137973991104,10.680236000244983,9.179715411469285,97966
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | draw,buy,buy,0.09363027433427024,0.8570221497978152,1.1728730359909068,347949
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | draw,buy,sell,1.0501613402326726,0.40321002153063223,9.710594748762686,178815
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | draw,buy,all,0.2361983896845171,0.48534690507086403,2.106259514540746,356034
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | draw,sell,buy,-0.7117514700798548,10.93602351870647,0.5652189129597871,228584
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | draw,sell,sell,0.245636360722505,1.3651642999245386,4.220499569336779,131193
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | draw,sell,all,-0.5220094799298898,5.437218068997649,0.7793472966390648,236095
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | draw,all,buy,-0.14396703988785584,2.4708465303771954,0.7123832832874007,388976
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | draw,all,sell,0.7758288477404897,0.46377684320943285,6.683728474441282,205918
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | draw,all,all,0.0007232690698678493,1.3735698256429822,1.2849605148878702,398378
