cell,fixture_rank,fixtures_pct,observations,cumulative_pct
Premier League 2025/26 | post_0_to_105m  F=60s,247,72.8613569321534,1864,92.6110365256591
Premier League 2025/26 | post_0_to_105m  F=60s,248,73.15634218289085,1785,92.74844653557417
Premier League 2025/26 | post_0_to_105m  F=60s,249,73.45132743362832,1767,92.88447089833045
Premier League 2025/26 | post_0_to_105m  F=60s,250,73.74631268436578,1756,93.0196484767119
Premier League 2025/26 | post_0_to_105m  F=60s,251,74.04129793510324,1755,93.15474907469562
Premier League 2025/26 | post_0_to_105m  F=60s,252,74.33628318584071,1753,93.28969571188392
Premier League 2025/26 | post_0_to_105m  F=60s,253,74.63126843657817,1705,93.42094728998208
Premier League 2025/26 | post_0_to_105m  F=60s,254,74.92625368731564,1682,93.55042831893287
Premier League 2025/26 | post_0_to_105m  F=60s,255,75.22123893805309,1664,93.67852370072485
Premier League 2025/26 | post_0_to_105m  F=60s,256,75.51622418879056,1579,93.80007574871135
Premier League 2025/26 | post_0_to_105m  F=60s,257,75.81120943952803,1573,93.92116591431159
Premier League 2025/26 | post_0_to_105m  F=60s,258,76.10619469026548,1557,94.04102439354843
Premier League 2025/26 | post_0_to_105m  F=60s,259,76.40117994100295,1547,94.16011306880816
Premier League 2025/26 | post_0_to_105m  F=60s,260,76.69616519174042,1530,94.2778930773068
Premier League 2025/26 | post_0_to_105m  F=60s,261,76.99115044247787,1522,94.39505724262374
Premier League 2025/26 | post_0_to_105m  F=60s,262,77.28613569321534,1522,94.51222140794069
Premier League 2025/26 | post_0_to_105m  F=60s,263,77.5811209439528,1521,94.62930859285991
Premier League 2025/26 | post_0_to_105m  F=60s,264,77.87610619469027,1481,94.74331656187069
Premier League 2025/26 | post_0_to_105m  F=60s,265,78.17109144542773,1469,94.85640076610892
Premier League 2025/26 | post_0_to_105m  F=60s,266,78.46607669616519,1450,94.96802234279063
Premier League 2025/26 | post_0_to_105m  F=60s,267,78.76106194690266,1443,95.07910505668836
Premier League 2025/26 | post_0_to_105m  F=60s,268,79.05604719764011,1438,95.18980286859754
Premier League 2025/26 | post_0_to_105m  F=60s,269,79.35103244837758,1434,95.30019275891587
Premier League 2025/26 | post_0_to_105m  F=60s,270,79.64601769911505,1423,95.40973586485937
Premier League 2025/26 | post_0_to_105m  F=60s,271,79.9410029498525,1377,95.51573787250814
Premier League 2025/26 | post_0_to_105m  F=60s,272,80.23598820058997,1376,95.6216628997592
Premier League 2025/26 | post_0_to_105m  F=60s,273,80.53097345132744,1374,95.72743396621485
Premier League 2025/26 | post_0_to_105m  F=60s,274,80.8259587020649,1370,95.83289711107963
Premier League 2025/26 | post_0_to_105m  F=60s,275,81.12094395280236,1366,95.93805233435359
Premier League 2025/26 | post_0_to_105m  F=60s,276,81.41592920353982,1362,96.04289963603668
Premier League 2025/26 | post_0_to_105m  F=60s,277,81.71091445427729,1346,96.14651525135639
Premier League 2025/26 | post_0_to_105m  F=60s,278,82.00589970501476,1330,96.24889918031272
Premier League 2025/26 | post_0_to_105m  F=60s,279,82.30088495575221,1325,96.3508982072805
Premier League 2025/26 | post_0_to_105m  F=60s,280,82.59587020648968,1325,96.45289723424827
Premier League 2025/26 | post_0_to_105m  F=60s,281,82.89085545722713,1323,96.55474230042063
Premier League 2025/26 | post_0_to_105m  F=60s,282,83.1858407079646,1317,96.6561254842067
Premier League 2025/26 | post_0_to_105m  F=60s,283,83.48082595870207,1288,96.75527623645915
Premier League 2025/26 | post_0_to_105m  F=60s,284,83.77581120943952,1281,96.85388812592761
Premier League 2025/26 | post_0_to_105m  F=60s,285,84.070796460177,1234,96.94888193670364
Premier League 2025/26 | post_0_to_105m  F=60s,286,84.36578171091445,1226,97.04325990429797
Premier League 2025/26 | post_0_to_105m  F=60s,287,84.66076696165192,1208,97.1362522247335
Premier League 2025/26 | post_0_to_105m  F=60s,288,84.95575221238938,1123,97.22270121136354
Premier League 2025/26 | post_0_to_105m  F=60s,289,85.25073746312684,1122,97.30907321759587
Premier League 2025/26 | post_0_to_105m  F=60s,290,85.54572271386431,1109,97.39444447865796
Premier League 2025/26 | post_0_to_105m  F=60s,291,85.84070796460178,1072,97.4769674650047
Premier League 2025/26 | post_0_to_105m  F=60s,292,86.13569321533923,1072,97.55949045135146
Premier League 2025/26 | post_0_to_105m  F=60s,293,86.4306784660767,1066,97.64155155531195
Premier League 2025/26 | post_0_to_105m  F=60s,294,86.72566371681415,1059,97.72307379648846
Premier League 2025/26 | post_0_to_105m  F=60s,295,87.02064896755162,1031,97.80244058652904
Premier League 2025/26 | post_0_to_105m  F=60s,296,87.31563421828909,1021,97.88103757259252
Premier League 2025/26 | post_0_to_105m  F=60s,297,87.61061946902655,1017,97.95932663706513
Premier League 2025/26 | post_0_to_105m  F=60s,298,87.90560471976401,995,98.0359221327881
