combo,phase,freshness,fresh_pct_of_clock
World Cup 2026/27,pre_24h_to_1h,234,90.67041372476154
World Cup 2026/27,pre_24h_to_1h,235,90.71359779511954
World Cup 2026/27,pre_24h_to_1h,236,90.75650315867708
World Cup 2026/27,pre_24h_to_1h,237,90.79908336430076
World Cup 2026/27,pre_24h_to_1h,238,90.84116809116809
World Cup 2026/27,pre_24h_to_1h,239,90.8829702403072
World Cup 2026/27,pre_24h_to_1h,240,90.9244588442958
World Cup 2026/27,pre_24h_to_1h,241,90.96549842066146
World Cup 2026/27,pre_24h_to_1h,242,91.00627477393782
World Cup 2026/27,pre_24h_to_1h,243,91.04673758206368
World Cup 2026/27,pre_24h_to_1h,244,91.08673587885544
World Cup 2026/27,pre_24h_to_1h,245,91.1264980490524
World Cup 2026/27,pre_24h_to_1h,246,91.16599699616005
World Cup 2026/27,pre_24h_to_1h,247,91.2050585284281
World Cup 2026/27,pre_24h_to_1h,248,91.24390715966804
World Cup 2026/27,pre_24h_to_1h,249,91.28253901895206
World Cup 2026/27,pre_24h_to_1h,250,91.32072185061315
World Cup 2026/27,pre_24h_to_1h,251,91.35866081382386
World Cup 2026/27,pre_24h_to_1h,252,91.3963481667286
World Cup 2026/27,pre_24h_to_1h,253,91.43360197572154
World Cup 2026/27,pre_24h_to_1h,254,91.47064675461417
World Cup 2026/27,pre_24h_to_1h,255,91.507490245262
World Cup 2026/27,pre_24h_to_1h,256,91.54397373962593
World Cup 2026/27,pre_24h_to_1h,257,91.58019401090051
World Cup 2026/27,pre_24h_to_1h,258,91.61618976836368
World Cup 2026/27,pre_24h_to_1h,259,91.65182552954292
World Cup 2026/27,pre_24h_to_1h,260,91.68724451876626
World Cup 2026/27,pre_24h_to_1h,261,91.72243125232256
World Cup 2026/27,pre_24h_to_1h,262,91.75722702217269
World Cup 2026/27,pre_24h_to_1h,263,91.791875696767
World Cup 2026/27,pre_24h_to_1h,264,91.82623018084976
World Cup 2026/27,pre_24h_to_1h,265,91.86028273256534
World Cup 2026/27,pre_24h_to_1h,266,91.89414560881951
World Cup 2026/27,pre_24h_to_1h,267,91.9277452619844
World Cup 2026/27,pre_24h_to_1h,268,91.96101201535984
World Cup 2026/27,pre_24h_to_1h,269,91.99409296420166
World Cup 2026/27,pre_24h_to_1h,270,92.02696488294316
World Cup 2026/27,pre_24h_to_1h,271,92.0594574507618
World Cup 2026/27,pre_24h_to_1h,272,92.0917719559024
World Cup 2026/27,pre_24h_to_1h,273,92.12392388207606
World Cup 2026/27,pre_24h_to_1h,274,92.15578935959373
World Cup 2026/27,pre_24h_to_1h,275,92.18741096866096
World Cup 2026/27,pre_24h_to_1h,276,92.21880032206118
World Cup 2026/27,pre_24h_to_1h,277,92.24982967917752
World Cup 2026/27,pre_24h_to_1h,278,92.28070032825468
World Cup 2026/27,pre_24h_to_1h,279,92.31136968908709
World Cup 2026/27,pre_24h_to_1h,280,92.34174098848013
World Cup 2026/27,pre_24h_to_1h,281,92.37188777406168
World Cup 2026/27,pre_24h_to_1h,282,92.40183714232629
World Cup 2026/27,pre_24h_to_1h,283,92.43147683636812
World Cup 2026/27,pre_24h_to_1h,284,92.46093846773196
World Cup 2026/27,pre_24h_to_1h,285,92.49025300383995
World Cup 2026/27,pre_24h_to_1h,286,92.51930818778644
World Cup 2026/27,pre_24h_to_1h,287,92.54823563111609
World Cup 2026/27,pre_24h_to_1h,288,92.57701210826212
World Cup 2026/27,pre_24h_to_1h,289,92.6054402019076
World Cup 2026/27,pre_24h_to_1h,290,92.63372120029727
World Cup 2026/27,pre_24h_to_1h,291,92.6617815558033
World Cup 2026/27,pre_24h_to_1h,292,92.6896019137867
World Cup 2026/27,pre_24h_to_1h,293,92.7172480800198
World Cup 2026/27,pre_24h_to_1h,294,92.74470844171933
World Cup 2026/27,pre_24h_to_1h,295,92.7719520314629
World Cup 2026/27,pre_24h_to_1h,296,92.7990485259507
World Cup 2026/27,pre_24h_to_1h,297,92.82599405425492
World Cup 2026/27,pre_24h_to_1h,298,92.85266861761428
World Cup 2026/27,pre_24h_to_1h,299,92.87917286015112
World Cup 2026/27,pre_24h_to_1h,300,92.9055261365044
World Cup 2026/27,pre_last_hour,1,20.591435185185187
World Cup 2026/27,pre_last_hour,2,40.08457977207977
World Cup 2026/27,pre_last_hour,3,53.1309650997151
World Cup 2026/27,pre_last_hour,4,61.2440349002849
World Cup 2026/27,pre_last_hour,5,67.90838675213675
World Cup 2026/27,pre_last_hour,6,73.22053062678063
World Cup 2026/27,pre_last_hour,7,77.01780626780626
World Cup 2026/27,pre_last_hour,8,80.26575854700855
World Cup 2026/27,pre_last_hour,9,82.98922720797721
World Cup 2026/27,pre_last_hour,10,85.05813746438747
World Cup 2026/27,pre_last_hour,11,86.88221153846153
World Cup 2026/27,pre_last_hour,12,88.46848290598291
World Cup 2026/27,pre_last_hour,13,89.7247150997151
