cell,outcome,pm_action,k_action,mean_gap_c,le_m2c_pct,ge_p2c_pct,prints
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,buy,sell,1.9537354709164474,2.630358723601568,31.977405893015217,47446
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,buy,all,0.5419143094718843,4.714913949206446,11.753427575817522,131434
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,sell,buy,-1.2105855072700447,27.809085681426108,2.5918762088974856,95645
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,sell,sell,0.504756422333948,8.268522308636921,15.742457441429295,41531
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,sell,all,-0.8058042740626251,22.914583727402924,5.446717287720341,111021
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,all,buy,-0.39684471150460665,13.120766019105663,4.689028807875298,133887
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,all,sell,1.287422275359612,4.343807763401109,23.51010261966983,62756
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,all,all,0.005868368140476446,10.721312985739576,8.770786856981161,151959
World Cup 2026/27 | post_0_to_105m  F=5s,draw,buy,buy,0.11390540852250387,0.9037548177684119,1.2650731015295196,435627
World Cup 2026/27 | post_0_to_105m  F=5s,draw,buy,sell,1.0710322561088454,0.40737554766160194,10.37292245156287,224363
World Cup 2026/27 | post_0_to_105m  F=5s,draw,buy,all,0.25975808882461815,0.5171432540589471,2.276953963495243,446298
World Cup 2026/27 | post_0_to_105m  F=5s,draw,sell,buy,-0.691993802161663,10.634574529520263,0.5946401884368907,285719
World Cup 2026/27 | post_0_to_105m  F=5s,draw,sell,sell,0.26642392339926757,1.4408291770953223,4.612967462593858,164211
World Cup 2026/27 | post_0_to_105m  F=5s,draw,sell,all,-0.5004294808276684,5.422088585949907,0.8173934832000922,295329
World Cup 2026/27 | post_0_to_105m  F=5s,draw,all,buy,-0.12465505615485864,2.4627188020651216,0.782648044922558,486170
World Cup 2026/27 | post_0_to_105m  F=5s,draw,all,sell,0.7957866180105158,0.4844566915096058,7.167246076869712,258021
World Cup 2026/27 | post_0_to_105m  F=5s,draw,all,all,0.02299024468829936,1.3962842021390824,1.3960835000832914,498251
World Cup 2026/27 | pre_last_hour  F=10s,draw,buy,buy,0.00755332131596373,1.461144815570243,0.18362119781532507,191699
World Cup 2026/27 | pre_last_hour  F=10s,draw,buy,sell,0.9819864914610656,0.0,4.4154044154044145,30303
World Cup 2026/27 | pre_last_hour  F=10s,draw,buy,all,0.04039650945998102,1.3251247782865156,0.28977436785876337,193944
World Cup 2026/27 | pre_last_hour  F=10s,draw,sell,buy,-0.8533117986366325,11.665858557872134,0.0,72185
World Cup 2026/27 | pre_last_hour  F=10s,draw,sell,sell,0.15419261581688776,2.9612081729345574,1.4411213108281513,10131
World Cup 2026/27 | pre_last_hour  F=10s,draw,sell,all,-0.8185606353521782,10.941754347558389,0.047888133320563166,73087
World Cup 2026/27 | pre_last_hour  F=10s,draw,all,buy,-0.14285697792256036,2.626023401746153,0.12084269581127186,206053
World Cup 2026/27 | pre_last_hour  F=10s,draw,all,sell,0.8242569492970908,0.4884251900234097,3.453657408745412,34601
World Cup 2026/27 | pre_last_hour  F=10s,draw,all,all,-0.10962677872591152,2.4417745448962163,0.20775955550011035,208414
