cell,direction,freshness,n,pos_pct,open_pct_of_clock,open_pct_of_fresh,mean_net_c,time_mean_net_c,both_fresh_pct,k_only_pct_of_clock,pm_only_pct_of_clock
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,42,1210244,76.45375643258714,35.00455744408547,77.51038700986135,1.080327543767191,1.1112496010226816,70.7835370136255,19.92370963462409,3.6505751432005122
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,43,1216574,76.46481019650264,35.46315025518565,77.52691158492166,1.0805486891678668,1.111545887660326,71.30898534438357,19.650840473849325,3.577031730424061
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,44,1222606,76.47549578523252,35.91993257479983,77.54260052517722,1.0807978965863987,1.111839284842414,71.83076586911396,19.369917747498867,3.506656677748124
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,45,1228501,76.48882662692175,36.360724820901815,77.55858713392665,1.0812508407975603,1.1120849556348615,72.32445256044076,19.107115543693716,3.4381701549843133
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,46,1234104,76.49533588741305,36.79887156435829,77.57413331881263,1.081444071949505,1.112324056167936,72.81454948416601,18.838647750152173,3.372180861856378
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,47,1239772,76.50471215675141,37.22132478032183,77.58895551630427,1.0819257073061048,1.1125550726442022,73.27926831171669,18.586365126188134,3.30759626039862
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,48,1245151,76.51104163270158,37.641405628131295,77.60357867026799,1.0821240256753526,1.112819252729586,73.73986671036818,18.329587488879525,3.245727396169874
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,49,1250330,76.52035862532291,38.04782975136958,77.61744403907295,1.082422903764712,1.1130292289460522,74.17763106553667,18.08779322938615,3.1849198545363735
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,50,1255478,76.52551458488321,38.451483510480564,77.63093193828473,1.0827906785509192,1.113260832896362,74.61136863791731,17.84234677155031,3.126000842815002
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,51,1260532,76.5320515464899,38.842456025346884,77.64328562280683,1.0830603323690293,1.113508758942327,75.02470696570992,17.60966740022787,3.0680338998923067
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,52,1265331,76.53791774642366,39.23077523372508,77.65549489040497,1.083294158398351,1.1137985384956346,75.43440870284527,17.37371041500835,3.01265783271683
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,53,1269956,76.55036867419028,39.60676437077617,77.66773819066394,1.084066484493065,1.114060810654725,75.82522514085936,17.150770239265814,2.958155795913908
