cell,source,horizon,triggers,eligible,followed,follow_pct
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,59,619607,608037.0,567500.0,93.33313597692246
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,60,619607,607844.0,568046.0,93.45259638986319
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,1,262393,262319.0,104617.0,39.88159454709724
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,2,262393,262209.0,146247.0,55.77497339908241
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,3,262393,262127.0,170423.0,65.0154314511668
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,4,262393,262048.0,185954.0,70.96180852362926
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,5,262393,261979.0,197053.0,75.2170975536207
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,6,262393,261880.0,205283.0,78.3881930655262
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,7,262393,261810.0,211565.0,80.80860165769069
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,8,262393,261737.0,216623.0,82.76361385665764
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,9,262393,261675.0,220766.0,84.36648514378523
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,10,262393,261586.0,224224.0,85.71712553424113
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,11,262393,261514.0,227094.0,86.83818074749344
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,12,262393,261424.0,229608.0,87.82973254177122
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,13,262393,261360.0,231754.0,88.67232935414754
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,14,262393,261262.0,233585.0,89.40641960943421
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,POLYMARKET,15,262393,261196.0,235196.0,90.04578936890304
